country_name,country_iso2,week,category,weekly_rank,show_title,season_title,imdb_tconst
Argentina,AR,2021-07-04,Films,1,Fatale,,tt1616102
Argentina,AR,2021-07-04,TV,1,"Newly Rich, Newly Poor",1.0,tt32375039
Argentina,AR,2021-07-04,Films,2,Fatherhood,,tt32322281
Argentina,AR,2021-07-04,TV,2,Sex/Life,1.0,tt10839422
Argentina,AR,2021-07-04,TV,3,Elite,4.0,tt7134908
Argentina,AR,2021-07-04,Films,4,Wish Dragon,,tt5562070
Argentina,AR,2021-07-04,TV,4,Pasión de Gavilanes,1.0,tt0387763
Argentina,AR,2021-07-04,Films,5,Kung Fu Panda 3,,tt2267968
Argentina,AR,2021-07-04,TV,5,The Seven Deadly Sins,1.0,tt3909224
Argentina,AR,2021-07-04,Films,6,Skylines,,tt9387250
Argentina,AR,2021-07-04,TV,6,Falsa identidad,2.0,tt8598690
Argentina,AR,2021-07-04,Films,7,Silver Skates,,tt10525672
Argentina,AR,2021-07-04,TV,7,"Yo soy Betty, la fea",1.0,tt0233127
Argentina,AR,2021-07-04,Films,8,Robin Hood,,tt12211820
Argentina,AR,2021-07-04,TV,8,Pokémon Journeys: The Series,1.0,tt14033496
Argentina,AR,2021-07-04,Films,9,Good on Paper,,tt8231668
Argentina,AR,2021-07-04,TV,9,Señora Acero,2.0,tt3904068
Argentina,AR,2021-07-04,Films,10,What Men Want,,tt37460462
Argentina,AR,2021-07-04,TV,10,Señora Acero,3.0,tt3904068
Argentina,AR,2021-07-11,Films,1,Fatale,,tt1616102
Argentina,AR,2021-07-11,TV,1,"Newly Rich, Newly Poor",1.0,tt32375039
Argentina,AR,2021-07-11,Films,2,Major Grom: Plague Doctor,,tt7601480
Argentina,AR,2021-07-11,TV,2,Sex/Life,1.0,tt10839422
Argentina,AR,2021-07-11,Films,3,How to Train Your Dragon: The Hidden World,,tt2386490
Argentina,AR,2021-07-11,TV,3,Virgin River,3.0,tt9077530
Argentina,AR,2021-07-11,Films,4,Robin Hood,,tt12211820
Argentina,AR,2021-07-11,TV,4,The Cook of Castamar,1.0,tt12626014
Argentina,AR,2021-07-11,TV,5,Elite,4.0,tt7134908
Argentina,AR,2021-07-11,TV,6,Pasión de Gavilanes,1.0,tt0387763
Argentina,AR,2021-07-11,Films,7,Kung Fu Panda 3,,tt2267968
Argentina,AR,2021-07-11,TV,7,Pokémon Journeys: The Series,1.0,tt14033496
Argentina,AR,2021-07-11,Films,8,Stepmom,,tt31798137
Argentina,AR,2021-07-11,TV,8,"Yo soy Betty, la fea",1.0,tt0233127
Argentina,AR,2021-07-11,Films,9,The Water Man,,tt4779326
Argentina,AR,2021-07-11,TV,9,Atypical,4.0,tt6315640
Argentina,AR,2021-07-11,Films,10,Happy Death Day 2U,,tt8155288
Argentina,AR,2021-07-11,TV,10,Falsa identidad,2.0,tt8598690
Argentina,AR,2021-07-18,Films,1,Penguin Bloom,,tt6317656
Argentina,AR,2021-07-18,TV,1,The Cook of Castamar,1.0,tt12626014
Argentina,AR,2021-07-18,Films,2,The Water Man,,tt4779326
Argentina,AR,2021-07-18,TV,2,Virgin River,3.0,tt9077530
Argentina,AR,2021-07-18,Films,3,Rust Creek,,tt6610158
Argentina,AR,2021-07-18,TV,3,"Newly Rich, Newly Poor",1.0,tt32375039
Argentina,AR,2021-07-18,Films,4,Major Grom: Plague Doctor,,tt7601480
Argentina,AR,2021-07-18,TV,4,Atypical,4.0,tt6315640
Argentina,AR,2021-07-18,TV,5,Sex/Life,1.0,tt10839422
Argentina,AR,2021-07-18,TV,6,Pasión de Gavilanes,1.0,tt0387763
Argentina,AR,2021-07-18,TV,7,Never Have I Ever,2.0,tt27043648
Argentina,AR,2021-07-18,Films,8,The Guide to the Perfect Family,,tt11991786
Argentina,AR,2021-07-18,TV,8,"Yo soy Betty, la fea",1.0,tt0233127
Argentina,AR,2021-07-18,Films,9,How to Train Your Dragon: The Hidden World,,tt2386490
Argentina,AR,2021-07-18,TV,9,Elite,4.0,tt7134908
Argentina,AR,2021-07-18,Films,10,A Classic Horror Story,,tt12877640
Argentina,AR,2021-07-18,TV,10,Virgin River,1.0,tt9077530
Argentina,AR,2021-07-25,Films,1,Blood Red Sky,,tt6402468
Argentina,AR,2021-07-25,TV,1,Okupas,1.0,tt0289649
Argentina,AR,2021-07-25,Films,2,The Last Letter From Your Lover,,tt1893273
Argentina,AR,2021-07-25,TV,2,The Cook of Castamar,1.0,tt12626014
Argentina,AR,2021-07-25,Films,3,Trollhunters: Rise of the Titans,,tt12851396
Argentina,AR,2021-07-25,TV,3,Sky Rojo,2.0,tt8690776
Argentina,AR,2021-07-25,Films,4,The Guide to the Perfect Family,,tt11991786
Argentina,AR,2021-07-25,TV,4,"Newly Rich, Newly Poor",1.0,tt32375039
Argentina,AR,2021-07-25,TV,5,Virgin River,3.0,tt9077530
Argentina,AR,2021-07-25,Films,6,A Perfect Fit,,tt13606090
Argentina,AR,2021-07-25,TV,6,Pasión de Gavilanes,1.0,tt0387763
Argentina,AR,2021-07-25,Films,7,Penguin Bloom,,tt6317656
Argentina,AR,2021-07-25,TV,7,Never Have I Ever,2.0,tt27043648
Argentina,AR,2021-07-25,Films,8,Rust Creek,,tt6610158
Argentina,AR,2021-07-25,TV,8,Sex/Life,1.0,tt10839422
Argentina,AR,2021-07-25,TV,9,"Yo soy Betty, la fea",1.0,tt0233127
Argentina,AR,2021-07-25,TV,10,Atypical,4.0,tt6315640
Argentina,AR,2021-08-01,Films,1,Blood Red Sky,,tt6402468
Argentina,AR,2021-08-01,TV,1,Okupas,1.0,tt0289649
Argentina,AR,2021-08-01,Films,2,Resort to Love,,tt12929990
Argentina,AR,2021-08-01,TV,2,Sky Rojo,2.0,tt8690776
Argentina,AR,2021-08-01,Films,3,The Last Letter From Your Lover,,tt1893273
Argentina,AR,2021-08-01,TV,3,The Cook of Castamar,1.0,tt12626014
Argentina,AR,2021-08-01,Films,4,The Last Mercenary,,tt12808182
Argentina,AR,2021-08-01,TV,4,"Newly Rich, Newly Poor",1.0,tt32375039
Argentina,AR,2021-08-01,Films,5,Bartkowiak,,tt14315566
Argentina,AR,2021-08-01,TV,5,The Snitch Cartel: Origins,1.0,tt14417802
Argentina,AR,2021-08-01,Films,6,The Conductor,,tt12831682
Argentina,AR,2021-08-01,TV,6,Pasión de Gavilanes,1.0,tt0387763
Argentina,AR,2021-08-01,Films,7,Ashes in the Snow,,tt3759298
Argentina,AR,2021-08-01,TV,7,"Yo soy Betty, la fea",1.0,tt0233127
Argentina,AR,2021-08-01,TV,8,Virgin River,3.0,tt9077530
Argentina,AR,2021-08-01,Films,9,Night School,,tt32596875
Argentina,AR,2021-08-01,TV,9,Outer Banks,2.0,tt10293938
Argentina,AR,2021-08-01,Films,10,Never Back Down,,tt14066510
Argentina,AR,2021-08-08,Films,1,Aftermath,,tt8561200
Argentina,AR,2021-08-08,TV,1,The Snitch Cartel: Origins,1.0,tt14417802
Argentina,AR,2021-08-08,Films,2,The Last Mercenary,,tt12808182
Argentina,AR,2021-08-08,TV,2,Okupas,1.0,tt0289649
Argentina,AR,2021-08-08,Films,3,The Swarm,,tt10675724
Argentina,AR,2021-08-08,TV,3,"Newly Rich, Newly Poor",1.0,tt32375039
Argentina,AR,2021-08-08,Films,4,Resort to Love,,tt12929990
Argentina,AR,2021-08-08,TV,4,The Cook of Castamar,1.0,tt12626014
Argentina,AR,2021-08-08,Films,5,Vivo,,tt14366176
Argentina,AR,2021-08-08,TV,5,Outer Banks,2.0,tt10293938
Argentina,AR,2021-08-08,Films,6,Hotel Transylvania 3: Summer Vacation,,tt5220122
Argentina,AR,2021-08-08,TV,6,Sky Rojo,2.0,tt8690776
Argentina,AR,2021-08-08,Films,7,Blood Red Sky,,tt6402468
Argentina,AR,2021-08-08,TV,7,Pasión de Gavilanes,1.0,tt0387763
Argentina,AR,2021-08-08,Films,8,Dead Man Down,,tt2101341
Argentina,AR,2021-08-08,TV,8,Control Z,2.0,tt11937662
Argentina,AR,2021-08-08,Films,9,The 2nd,,tt11697484
Argentina,AR,2021-08-08,TV,9,Hit & Run,1.0,tt19879648
Argentina,AR,2021-08-08,TV,10,Blindspot,5.0,tt22541836
Argentina,AR,2021-08-15,Films,1,The Kissing Booth 3,,tt12783454
Argentina,AR,2021-08-15,TV,1,The Kingdom,1.0,tt37150947
Argentina,AR,2021-08-15,Films,2,Hotel Transylvania 3: Summer Vacation,,tt5220122
Argentina,AR,2021-08-15,TV,2,The Snitch Cartel: Origins,1.0,tt14417802
Argentina,AR,2021-08-15,Films,3,Vivo,,tt14366176
Argentina,AR,2021-08-15,TV,3,Hit & Run,1.0,tt19879648
Argentina,AR,2021-08-15,Films,4,Beckett,,tt10230994
Argentina,AR,2021-08-15,TV,4,Okupas,1.0,tt0289649
Argentina,AR,2021-08-15,Films,5,Aftermath,,tt8561200
Argentina,AR,2021-08-15,TV,5,"Newly Rich, Newly Poor",1.0,tt32375039
Argentina,AR,2021-08-15,Films,6,The Swarm,,tt10675724
Argentina,AR,2021-08-15,TV,6,Pasión de Gavilanes,1.0,tt0387763
Argentina,AR,2021-08-15,Films,7,Esperando la carroza,,tt0089108
Argentina,AR,2021-08-15,TV,7,The Cook of Castamar,1.0,tt12626014
Argentina,AR,2021-08-15,Films,8,Dead Man Down,,tt2101341
Argentina,AR,2021-08-15,TV,8,"Yo soy Betty, la fea",1.0,tt0233127
