,week,country,category,at_rank1,cumulative_weeks_in_top_10_1,at_rank2,cumulative_weeks_in_top_10_2,at_rank3,cumulative_weeks_in_top_10_3,at_rank4,cumulative_weeks_in_top_10_4,at_rank5,cumulative_weeks_in_top_10_5,at_rank6,cumulative_weeks_in_top_10_6,at_rank7,cumulative_weeks_in_top_10_7,at_rank8,cumulative_weeks_in_top_10_8,at_rank9,cumulative_weeks_in_top_10_9,at_rank10,cumulative_weeks_in_top_10_10
2021-07-04_Argentina_Films,2021-07-04,Argentina,Films,tt1616102,1,tt32322281,1,,,tt5562070,1,tt2267968,1,tt9387250,1,tt10525672,1,tt12211820,1,tt8231668,1,tt37460462,1
2021-07-04_Argentina_TV,2021-07-04,Argentina,TV,tt32375039,1,tt10839422,1,tt7134908,1,tt0387763,1,tt3909224,1,tt8598690,1,tt0233127,1,tt14033496,1,tt3904068,1,tt3904068,1
2021-07-04_Australia_Films,2021-07-04,Australia,Films,tt1025100,1,tt32322281,1,tt8231668,1,tt2963656,1,tt14008348,1,tt5562070,1,tt6189022,1,tt4633694,1,tt2267968,1,tt6834916,1
2021-07-04_Australia_TV,2021-07-04,Australia,TV,tt10839422,1,tt12004280,1,tt14681732,1,tt1064899,1,tt12809988,1,,,tt7423390,1,tt2861424,1,tt3909224,1,tt4052886,1
2021-07-04_Austria_Films,2021-07-04,Austria,Films,tt0803096,1,tt32322281,1,tt7286456,1,tt11850870,1,,,tt5562070,1,tt0903624,1,tt2674426,1,tt8231668,1,tt33365542,1
2021-07-04_Austria_TV,2021-07-04,Austria,TV,tt12004280,1,tt10839422,1,tt7134908,1,tt2531336,1,tt3909224,1,tt6111130,1,tt6111130,1,tt7817340,1,tt7134908,1,tt7134908,1
2021-07-04_Bahamas_Films,2021-07-04,Bahamas,Films,tt1616102,1,tt32322281,1,tt12211820,1,tt9387250,1,tt33396137,1,,,tt0803096,1,tt1586265,1,tt5562070,1,tt8231668,1
2021-07-04_Bahamas_TV,2021-07-04,Bahamas,TV,,,tt10839422,1,tt6045840,1,tt12004280,1,tt3909224,1,,,tt14033496,1,tt6045840,1,tt12427840,1,tt8467618,1
2021-07-04_Bahrain_Films,2021-07-04,Bahrain,Films,tt11027830,1,tt32322281,1,tt0903624,1,tt2674426,1,tt2199571,1,tt5562070,1,tt10525672,1,tt1170358,1,tt0369735,1,,
2021-07-04_Bahrain_TV,2021-07-04,Bahrain,TV,tt10839422,1,tt12004280,1,tt7134908,1,tt2306299,1,tt2531336,1,tt4320258,1,tt4320258,1,tt3909224,1,tt12809988,1,tt4320258,1
2021-07-04_Bangladesh_Films,2021-07-04,Bangladesh,Films,tt11027830,1,tt10661848,1,tt0833968,1,tt2267968,1,tt5113040,1,,,tt32322281,1,tt5562070,1,,,tt6836936,1
2021-07-04_Bangladesh_TV,2021-07-04,Bangladesh,TV,tt21912430,1,tt10839422,1,tt12004280,1,tt7134908,1,tt13433812,1,tt12809988,1,tt6468322,1,tt32270287,1,tt32270287,1,tt32270287,1
2021-07-04_Belgium_Films,2021-07-04,Belgium,Films,tt32322281,1,tt0903624,1,tt5562070,1,tt1025100,1,,,tt1170358,1,tt0452623,1,,,tt2310332,1,tt1340138,1
2021-07-04_Belgium_TV,2021-07-04,Belgium,TV,tt10839422,1,tt12004280,1,tt7134908,1,tt2531336,1,tt3909224,1,tt14033496,1,tt4052886,1,tt12809988,1,tt7134908,1,tt7134908,1
2021-07-04_Bolivia_Films,2021-07-04,Bolivia,Films,tt5562070,1,tt1616102,1,tt32322281,1,tt2267968,1,tt0803096,1,,,tt0126029,1,tt31798137,1,tt37460462,1,tt9387250,1
2021-07-04_Bolivia_TV,2021-07-04,Bolivia,TV,tt32375039,1,tt0233127,1,tt1704637,1,tt3909224,1,tt7134908,1,tt10839422,1,tt1704637,1,tt3904068,1,tt0387763,1,tt3904068,1
2021-07-04_Brazil_Films,2021-07-04,Brazil,Films,tt32322281,1,,,tt10525672,1,tt9387250,1,tt37460462,1,tt5562070,1,tt2267968,1,tt0803096,1,tt8231668,1,tt4701182,1
2021-07-04_Brazil_TV,2021-07-04,Brazil,TV,tt10839422,1,tt2734004,1,tt7134908,1,tt3909224,1,tt8430062,1,tt14033496,1,tt12809988,1,tt12004280,1,tt2531336,1,tt4052886,1
2021-07-04_Bulgaria_Films,2021-07-04,Bulgaria,Films,tt0803096,1,tt32322281,1,tt2674426,1,,,tt8231668,1,tt5562070,1,tt1025100,1,tt0286788,1,tt1469304,1,tt2310332,1
