tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0000181	short	Cinderella	Cinderella	0	1898	\N	\N	Fantasy,Short
tt0000225	short	Beauty and the Beast	La belle et la bête	0	1899	\N	\N	Family,Fantasy,Romance
tt0000230	short	Cinderella	Cendrillon	0	1899	\N	6	Drama,Family,Fantasy
tt0000308	short	The House That Jack Built	The House That Jack Built	0	1900	\N	1	Short
tt0000420	short	Alice in Wonderland	Alice in Wonderland	0	1903	\N	9	Family,Fantasy,Short
tt0000654	short	The Call of the Wild	The Call of the Wild	0	1908	\N	16	Action,Short
tt0000668	short	The Count of Monte Cristo	The Count of Monte Cristo	0	1908	\N	14	Action,Drama,Short
tt0000717	short	Macbeth	Macbeth	0	1908	\N	9	Drama,Short
tt0000746	short	The Reckoning	The Reckoning	0	1908	\N	8	Drama,Short
tt0000754	short	Romeo and Juliet	Romeo and Juliet	0	1908	\N	15	Drama,Romance,Short
tt0000757	short	She	She	0	1908	\N	\N	Fantasy,Sci-Fi,Short
tt0000758	short	Sherlock Holmes	Sherlock Holmes i Livsfare	0	1908	\N	\N	Mystery,Short
tt0000763	short	The Snowman	The Snowman	0	1908	\N	\N	Short
tt0000828	short	Confidence	Confidence	0	1909	\N	11	Drama,Short
tt0000841	short	The Day After	The Day After	0	1909	\N	8	Comedy,Short
tt0000950	short	Macbeth	Macbeth	0	1909	\N	\N	Drama,Short
tt0000961	short	The Message	The Message	0	1909	\N	10	Drama,Short
tt0000969	short	Les Misérables	Les Misérables	0	1909	\N	44	Drama,History,Short
tt0000990	short	Oliver Twist	Oliver Twist	0	1909	\N	14	Drama,Short
tt0001016	short	Resurrection	Resurrection	0	1909	\N	12	Drama,Short
tt0001027	short	The Sacrifice	The Sacrifice	0	1909	\N	7	Comedy,Romance,Short
tt0001138	short	The Brothers	The Brothers	0	1910	\N	\N	Drama,Short
tt0001144	short	The Call	The Call	0	1910	\N	11	Drama,Short
tt0001193	short	Elektra	Elektra	0	1910	\N	\N	Drama,History,Short
tt0001284	short	The Lesson	The Lesson	0	1910	\N	17	Drama,Short
tt0001299	short	Macbeth	Macbeth	0	1909	\N	\N	Drama,Short
tt0001303	short	The Man	The Man	0	1910	\N	16	Drama,Short
tt0001397	short	Sisters	Sisters	0	1910	\N	\N	Drama,Short
tt0001472	short	After the Ball	After the Ball	0	1910	\N	\N	Comedy,Short
tt0001544	short	A Christmas Carol	A Christmas Carol	0	1910	\N	11	Drama,Fantasy,Short
tt0001545	short	Cinderella	Cinderella	0	1911	\N	14	Fantasy,Short
tt0001546	short	Cinderella	Cinderella	0	1912	\N	\N	Fantasy,Romance,Short
tt0001632	short	Friday the 13th	Friday the 13th	0	1911	\N	\N	Comedy,Short
tt0001638	short	The General's Daughter	The General's Daughter	0	1911	\N	\N	Drama,Short
tt0001682	short	Home	Home	0	1911	\N	\N	Drama,Short
tt0001683	short	Home Sweet Home	Home Sweet Home	0	1911	\N	\N	Drama,Short
tt0001684	short	The Honeymooners	The Honeymooners	0	1911	\N	\N	Romance,Short
tt0001728	short	The Last of the Mohicans	The Last of the Mohicans	0	1911	\N	\N	Adventure,Short
tt0001761	short	Macbeth	Macbeth	0	1911	\N	14	Drama,Short
tt0001877	short	She	She	0	1911	\N	24	Fantasy,Sci-Fi,Short
tt0002014	short	Alt for Norge	Alt for Norge	0	1912	\N	\N	Drama,Short
tt0002066	short	Blind Love	Blind Love	0	1912	\N	9	Drama,Short
tt0002076	short	Brothers	Brothers	0	1912	\N	\N	Drama,Short
tt0002089	movie	Carmen	Carmen	0	1912	\N	\N	\N
tt0002173	short	The Father	The Father	0	1912	\N	\N	Drama,Short
tt0002197	short	Friends	Friends	0	1912	\N	17	Romance,Short,Western
tt0002247	short	His Only Son	His Only Son	0	1912	\N	10	Short,Western
tt0002277	short	The Informer	The Informer	0	1912	\N	18	Drama,Short
tt0002387	short	Neighbors	Neighbors	0	1912	\N	6	Comedy,Short
tt0002394	short	The Nurse	The Nurse	0	1912	\N	\N	Drama,Short
tt0002405	movie	Oliver Twist	Oliver Twist	0	1912	\N	\N	Drama
tt0002406	movie	Oliver Twist	Oliver Twist	0	1912	\N	\N	Drama
tt0002423	movie	Passion	Madame DuBarry	0	1919	\N	113	Biography,Drama,Romance
tt0002451	short	The Raven	The Raven	0	1912	\N	\N	Drama,Short
tt0002453	short	The Reckoning	The Reckoning	0	1912	\N	10	Drama,Short
tt0002465	short	Robin Hood	Robin Hood	0	1912	\N	30	Adventure,Drama,Romance
tt0002545	short	Twilight	Twilight	0	1912	\N	\N	Drama,Romance,Short
tt0002551	short	Undine	Undine	0	1912	\N	\N	Drama,Romance,Short
tt0002631	short	The Animal	The Animal	0	1913	\N	10	Drama,Short
tt0002641	short	The Artist	The Artist	0	1913	\N	14	Animation,Short
tt0002718	short	Brothers	Brothers	0	1913	\N	17	Drama,Short
tt0002739	movie	Carmen	Carmen	0	1914	\N	\N	\N
tt0002744	short	The Champion	The Champion	0	1913	\N	10	Comedy,Short
tt0002760	short	Confidence	Confidence	0	1913	\N	\N	Animation,Short
tt0002767	movie	The Count of Monte Cristo	The Count of Monte Cristo	0	1913	\N	69	Drama,History
