td,theaters,todate,distributor,date,imdb_tconst
1,"2,900","$75,194,370",Sony Pictures Entertainment (SPE),2000-01-01,tt0164912
2,"2,505","$42,404,267",Warner Bros.,2000-01-01,tt0146838
3,"2,309","$35,707,126",Paramount Pictures,2000-01-01,tt0134119
4,"2,875","$73,352,123",Warner Bros.,2000-01-01,tt0120689
5,"3,102","$204,817,418",Walt Disney Studios Motion Pictures,2000-01-01,tt0120363
6,"2,442","$24,376,624",DreamWorks Distribution,2000-01-01,tt0177789
7,"2,767","$36,985,111",Walt Disney Studios Motion Pictures,2000-01-01,tt0182789
8,"2,079","$22,741,970",Universal Pictures,2000-01-01,tt0125664
9,"2,129","$22,951,000",Twentieth Century Fox,2000-01-01,tt0166485
10,3,"$118,394",Universal Pictures,2000-01-01,tt0120834
1,"2,900","$79,403,127",Sony Pictures Entertainment (SPE),2000-01-02,tt0164912
2,"2,309","$39,771,649",Paramount Pictures,2000-01-02,tt0134119
3,"3,102","$208,851,257",Walt Disney Studios Motion Pictures,2000-01-02,tt0120363
4,"2,505","$45,752,119",Warner Bros.,2000-01-02,tt0146838
5,"2,875","$76,682,014",Warner Bros.,2000-01-02,tt0120689
6,"2,442","$27,311,918",DreamWorks Distribution,2000-01-02,tt0177789
7,"2,767","$39,610,696",Walt Disney Studios Motion Pictures,2000-01-02,tt0182789
8,"2,129","$24,732,782",Twentieth Century Fox,2000-01-02,tt0166485
9,"2,079","$24,550,700",Universal Pictures,2000-01-02,tt0125664
10,293,"$71,017,815",DreamWorks Distribution,2000-01-02,tt0169547
11,11,"$541,225",Universal Pictures,2000-01-02,tt0174856
12,3,"$133,025",Universal Pictures,2000-01-02,tt0120834
1,"2,900","$81,177,448",Sony Pictures Entertainment (SPE),2000-01-03,tt0164912
2,"2,309","$41,349,692",Paramount Pictures,2000-01-03,tt0134119
3,"2,505","$47,291,030",Warner Bros.,2000-01-03,tt0146838
4,"2,875","$78,203,256",Warner Bros.,2000-01-03,tt0120689
5,"3,102","$210,309,895",Walt Disney Studios Motion Pictures,2000-01-03,tt0120363
6,"2,442","$28,405,199",DreamWorks Distribution,2000-01-03,tt0177789
7,"2,767","$40,477,254",Walt Disney Studios Motion Pictures,2000-01-03,tt0182789
8,"2,129","$25,496,449",Twentieth Century Fox,2000-01-03,tt0166485
9,"2,079","$25,309,535",Universal Pictures,2000-01-03,tt0125664
10,275,"$71,107,346",DreamWorks Distribution,2000-01-03,tt0169547
11,11,"$541,225",Universal Pictures,2000-01-03,tt0174856
12,3,"$143,105",Universal Pictures,2000-01-03,tt0120834
1,"2,309","$42,585,894",Paramount Pictures,2000-01-04,tt0134119
2,"2,900","$82,350,145",Sony Pictures Entertainment (SPE),2000-01-04,tt0164912
3,"2,875","$79,342,018",Warner Bros.,2000-01-04,tt0120689
4,"2,505","$48,345,863",Warner Bros.,2000-01-04,tt0146838
5,"3,102","$211,215,635",Walt Disney Studios Motion Pictures,2000-01-04,tt0120363
6,"2,442","$29,148,473",DreamWorks Distribution,2000-01-04,tt0177789
7,"2,129","$26,155,367",Twentieth Century Fox,2000-01-04,tt0166485
8,"2,079","$25,902,050",Universal Pictures,2000-01-04,tt0125664
9,"2,767","$41,044,052",Walt Disney Studios Motion Pictures,2000-01-04,tt0182789
10,275,"$71,183,658",DreamWorks Distribution,2000-01-04,tt0169547
11,11,"$582,732",Universal Pictures,2000-01-04,tt0174856
12,3,"$152,164",Universal Pictures,2000-01-04,tt0120834
1,"2,309","$43,740,185",Paramount Pictures,2000-01-05,tt0134119
