country_name,country_iso2,week,category,weekly_rank,season_title,imdb_tconst
Argentina,AR,2023-12-17,Films,1,,tt12747748
Argentina,AR,2023-12-17,Films,3,,tt10954652
Argentina,AR,2023-12-17,Films,4,,tt13320622
Argentina,AR,2023-12-17,Films,6,,tt15654328
Argentina,AR,2023-12-17,Films,7,,tt7888964
Argentina,AR,2023-12-17,Films,8,,tt30096240
Argentina,AR,2023-12-17,Films,9,,tt5774060
Argentina,AR,2023-12-17,Films,10,,tt8337264
Argentina,AR,2023-12-17,TV,1,1.0,tt8323628
Argentina,AR,2023-12-17,TV,2,1.0,tt21093806
Argentina,AR,2023-12-17,TV,3,,tt13274038
Argentina,AR,2023-12-17,TV,4,1.0,tt22780536
Argentina,AR,2023-12-17,TV,6,1.0,tt28129282
Argentina,AR,2023-12-17,TV,7,1.0,tt13664452
Argentina,AR,2023-12-17,TV,8,1.0,tt28756878
Argentina,AR,2023-12-17,TV,9,1.0,tt11097240
Argentina,AR,2023-12-17,TV,10,1.0,tt29569035
Argentina,AR,2023-12-10,Films,1,,tt12747748
Argentina,AR,2023-12-10,Films,3,,tt7888964
Argentina,AR,2023-12-10,Films,4,,tt15654328
Argentina,AR,2023-12-10,Films,5,,tt12412888
Argentina,AR,2023-12-10,Films,7,,tt14227048
Argentina,AR,2023-12-10,TV,1,1.0,tt22780536
Argentina,AR,2023-12-10,TV,2,1.0,tt28129282
Argentina,AR,2023-12-10,TV,3,1.0,tt11097240
Argentina,AR,2023-12-10,TV,4,1.0,tt8323628
Argentina,AR,2023-12-10,TV,5,1.0,tt28104766
Argentina,AR,2023-12-10,TV,6,1.0,tt22459586
Argentina,AR,2023-12-10,TV,7,1.0,tt27787856
Argentina,AR,2023-12-10,TV,8,1.0,tt29569035
Argentina,AR,2023-12-10,TV,9,1.0,tt28756878
Argentina,AR,2023-12-10,TV,10,1.0,tt28197236
Argentina,AR,2023-12-03,Films,2,,tt15654328
Argentina,AR,2023-12-03,Films,3,,tt12412888
Argentina,AR,2023-12-03,Films,4,,tt14227048
Argentina,AR,2023-12-03,Films,6,,tt28081899
Argentina,AR,2023-12-03,Films,7,,tt23334616
Argentina,AR,2023-12-03,Films,8,,tt29692772
