week,category,weekly_rank,show_title,season_title,runtime,weekly_views,imdb_tconst
2023-12-17,Films (English),1,Leave the World Behind,,2.3667,44900000.0,tt12747748
2023-12-17,Films (English),2,Chicken Run: Dawn of the Nugget,,1.7,11900000.0,tt8337264
2023-12-17,Films (English),3,Leo,,1.7833,9400000.0,tt15654328
2023-12-17,Films (English),4,Family Switch,,1.7667,9400000.0,tt14227048
2023-12-17,Films (English),5,The Super Mario Bros. Movie,,1.5333,8900000.0,tt6718170
2023-12-17,Films (English),6,Underwater,,1.5833,5800000.0,tt5774060
2023-12-17,Films (English),7,Old,,1.8,5600000.0,tt10954652
2023-12-17,Films (English),8,Christmas as Usual,,1.4833,4800000.0,tt23790418
2023-12-17,Films (English),10,Holiday in the Vineyards,,1.7833,3900000.0,tt27195023
2023-12-17,Films (Non-English),1,Blood Vessel,,1.9833,4400000.0,tt8009938
2023-12-17,Films (Non-English),2,Stolen Vacation,,1.5333,2100000.0,tt12303550
2023-12-17,Films (Non-English),3,Dhak Dhak,,2.2833,1600000.0,tt27330026
2023-12-17,Films (Non-English),4,The Archies,,2.4,1300000.0,tt15979666
2023-12-17,Films (Non-English),6,Familia,,1.7667,1000000.0,tt0116274
2023-12-17,Films (Non-English),7,NAGA,,1.8833,1000000.0,tt28554013
2023-12-17,Films (Non-English),8,Nowhere,,1.8167,1000000.0,tt15789472
2023-12-17,Films (Non-English),9,Women on the Edge,,1.5833,900000.0,tt2065946
2023-12-17,Films (Non-English),10,Japan,,2.5667,900000.0,tt23474462
2023-12-17,TV (English),1,My Life With the Walter Boys,My Life With the Walter Boys: Season 1,7.6167,12800000.0,tt8323628
2023-12-17,TV (English),2,The Crown,The Crown: Season 6,8.75,5800000.0,tt4786824
2023-12-17,TV (English),3,Obliterated,Obliterated: Season 1,6.8333,5200000.0,tt11097240
2023-12-17,TV (English),4,World War II: From the Frontlines,World War II: From the Frontlines: Season 1,4.85,4400000.0,tt28756878
2023-12-17,TV (English),5,Squid Game: The Challenge,Squid Game: The Challenge: Season 1,8.1667,3000000.0,tt28104766
2023-12-17,TV (English),6,Car Masters: Rust to Riches,Car Masters: Rust to Riches: Season 5,5.3,2400000.0,tt8893550
2023-12-17,TV (English),7,Bad Surgeon: Love Under the Knife,Bad Surgeon: Love Under the Knife: Season 1,2.6667,2300000.0,tt28197236
2023-12-17,TV (English),8,CoComelon Lane,CoComelon Lane: Season 1,3.9167,2000000.0,tt15040002
2023-12-17,TV (English),9,Young Sheldon,Young Sheldon: Season 1,7.2167,1600000.0,tt6226232
2023-12-17,TV (English),10,School Spirits,School Spirits: Season 1,6.2,1400000.0,tt21057450
2023-12-17,TV (Non-English),1,Yu Yu Hakusho,Yu Yu Hakusho: Season 1,4.1833,7700000.0,tt0185133
2023-12-17,TV (Non-English),2,My Demon,My Demon: Season 1,0.0,4200000.0,tt29569035
2023-12-17,TV (Non-English),3,Blood Coast,Blood Coast: Season 1,5.2833,3800000.0,tt28129282
2023-12-17,TV (Non-English),5,High Tides,High Tides: Season 1,5.7667,3300000.0,tt21093806
2023-12-17,TV (Non-English),6,True Beauty,,20.0167,3200000.0,tt13274038
2023-12-17,TV (Non-English),7,A Nearly Normal Family,A Nearly Normal Family: Limited Series,4.5333,2700000.0,tt22780536
2023-12-17,TV (Non-English),8,If I Were Luísa Sonza,If I Were Luísa Sonza: Season 1,1.85,2200000.0,tt28995977
2023-12-17,TV (Non-English),9,Dubai Bling,Dubai Bling: Season 2,6.4833,1900000.0,tt22071840
2023-12-10,Films (English),1,Leave the World Behind,,2.3667,41700000.0,tt12747748
2023-12-10,Films (English),2,Family Switch,,1.7667,18600000.0,tt14227048
2023-12-10,Films (English),3,Leo,,1.7833,14200000.0,tt15654328
2023-12-10,Films (English),4,The Super Mario Bros. Movie,,1.5333,13200000.0,tt6718170
2023-12-10,Films (English),6,Nobody,,1.5333,6900000.0,tt7888964
2023-12-10,Films (English),7,Christmas as Usual,,1.4833,6700000.0,tt23790418
2023-12-10,Films (English),8,The Fast and the Furious,,1.7667,6300000.0,tt0232500
2023-12-10,Films (English),9,The Fate of the Furious,,2.2667,6000000.0,tt4630562
2023-12-10,Films (Non-English),1,Mission Raniganj: The Great Bharat Rescue,,2.25,2500000.0,tt21262240
2023-12-10,Films (Non-English),2,Stolen Vacation,,1.5333,2500000.0,tt12303550
2023-12-10,Films (Non-English),3,The Archies,,2.4,2200000.0,tt15979666
2023-12-10,Films (Non-English),4,Women on the Edge,,1.5833,1900000.0,tt2065946
2023-12-10,Films (Non-English),6,Last Call for Istanbul,,1.5167,1800000.0,tt23334616
2023-12-10,Films (Non-English),7,Thank You for Coming,,1.9667,1500000.0,tt23036080
2023-12-10,Films (Non-English),8,Concrete Utopia,,2.1667,1400000.0,tt13086266
2023-12-10,Films (Non-English),9,Hard Days,,1.9667,1300000.0,tt26594589
