category,rank,show_title,season_title,views_first_91_days,language,imdb_tconst
Films,1,Red Notice,,230900000,English,tt7991608
Films,2,Don't Look Up,,171400000,English,tt11286314
Films,3,The Adam Project,,157600000,English,tt2463208
Films,4,Bird Box,,157400000,English,tt2737304
Films,5,The Gray Man,,139300000,English,tt1649418
Films,6,We Can Be Heroes,,137300000,English,tt10600398
Films,7,The Mother,,136400000,English,tt6968614
Films,9,Extraction,,135700000,English,tt8936646
Films,10,Extraction 2,,134900000,English,tt12263384
Films,1,Troll,,103000000,Non-English,tt11116912
Films,2,Nowhere,,83700000,Non-English,tt15789472
Films,3,The Platform,,82800000,Non-English,tt8228288
Films,4,Through My Window,,61100000,Non-English,tt14463484
Films,5,AKA,,60900000,Non-English,tt0317052
Films,6,Blood Red Sky,,60900000,Non-English,tt6402468
Films,7,My Name Is Vendetta,,56400000,Non-English,tt15229674
Films,8,Black Crab,,53900000,Non-English,tt6708668
Films,9,All Quiet on the Western Front,,52100000,Non-English,tt1016150
Films,10,Below Zero,,48600000,Non-English,tt9845564
TV,1,Wednesday,Wednesday: Season 1,252100000,English,tt13443470
TV,2,Stranger Things,Stranger Things 4,140700000,English,tt4574334
TV,4,Bridgerton,Bridgerton: Season 1,113300000,English,tt8740790
TV,5,The Queen's Gambit,The Queen's Gambit: Limited Series,112800000,English,tt10048342
TV,6,The Night Agent,The Night Agent: Season 1,98200000,English,tt13918776
TV,7,Stranger Things,Stranger Things 3,94800000,English,tt4574334
TV,8,Bridgerton,Bridgerton: Season 2,93800000,English,tt8740790
TV,9,The Witcher,The Witcher: Season 1,83000000,English,tt5180504
TV,10,Queen Charlotte: A Bridgerton Story,,81300000,English,tt14661396
TV,1,Squid Game,Squid Game: Season 1,265200000,Non-English,tt10919420
TV,2,Money Heist,Money Heist: Part 4,106000000,Non-English,tt6468322
TV,3,Lupin,Lupin: Part 1,99500000,Non-English,tt1018841
TV,4,Money Heist,Money Heist: Part 5,99200000,Non-English,tt6468322
TV,5,Money Heist,Money Heist: Part 3,80000000,Non-English,tt6468322
TV,6,Lupin,Lupin: Part 2,68400000,Non-English,tt1018841
TV,7,Who Killed Sara?,Who Killed Sara?: Season 1,58400000,Non-English,tt11937816
TV,8,All of Us Are Dead,All of Us Are Dead: Season 1,55500000,Non-English,tt14169960
TV,9,Dear Child,Dear Child: Limited Series,50900000,Non-English,tt20863760
TV,10,Elite,Elite: Season 3,50000000,Non-English,tt7134908
