tconst	averageRating	numVotes
tt0000181	6.3	76
tt0000225	4.8	49
tt0000230	6.5	2034
tt0000308	5.3	168
tt0000420	6.2	3133
tt0000654	4.8	145
tt0000668	6.6	70
tt0000717	6.5	29
tt0000746	7.1	23
tt0000754	6.8	89
tt0000757	3.8	18
tt0000758	5.5	36
tt0000828	5.3	131
tt0000841	5.1	101
tt0000950	4.1	20
tt0000961	7.8	26
tt0000969	6.1	30
tt0000990	5.6	116
tt0001016	5.1	184
tt0001027	5.3	20
tt0001144	4.3	55
tt0001284	5.0	62
tt0001299	4.0	18
tt0001303	6.0	20
tt0001544	6.0	956
tt0001545	6.1	173
tt0001632	6.4	48
tt0001638	6.8	13
tt0001728	6.1	19
tt0001877	5.1	90
tt0002066	3.8	109
tt0002197	5.6	351
tt0002277	6.7	41
tt0002387	4.5	62
tt0002405	5.1	48
tt0002406	4.6	30
tt0002423	6.7	1120
tt0002451	8.5	25
tt0002465	5.3	88
tt0002545	7.4	18
tt0002718	3.7	49
tt0002739	3.0	16
tt0002767	5.7	78
tt0002956	4.9	84
tt0003108	6.3	17
tt0003337	5.6	63
tt0003605	6.0	20
tt0003625	5.2	31
tt0003772	6.0	1141
tt0004167	7.6	27
tt0004275	6.0	19
tt0004403	6.7	30
tt0004536	5.4	38
tt0004558	6.3	36
tt0004613	6.6	17
tt0004696	5.4	24
tt0004816	6.2	22
tt0004832	5.4	65
tt0004873	6.1	953
tt0004897	4.0	29
tt0004972	6.1	28132
tt0005040	6.6	13
tt0005044	5.7	2010
tt0005060	6.3	1174
tt0005061	4.4	55
tt0005074	6.7	2991
tt0005196	7.7	52
tt0005419	7.2	15
tt0005431	6.4	24
tt0005535	7.3	48
tt0005561	7.6	23
tt0005565	6.2	12
tt0005916	6.8	1125
tt0005955	5.4	156
tt0005956	8.5	16
tt0006002	4.6	24
tt0006210	5.8	29
tt0006437	7.5	33
tt0006588	6.8	20
tt0006703	5.7	70
tt0006709	7.2	34
tt0006796	5.3	40
tt0006864	7.6	17846
tt0006867	6.1	50
tt0006995	6.4	41
tt0006996	4.8	11
tt0007120	7.0	38
tt0007142	7.2	39
tt0007146	6.2	24
tt0007160	6.9	26
tt0007205	9.0	16
tt0007255	5.1	30
tt0007271	7.1	25
tt0007272	7.6	34
tt0007325	4.9	26
tt0007330	3.2	19
tt0007338	6.2	542
tt0007454	5.8	51
tt0007499	3.6	24
tt0007709	5.4	187
tt0007885	5.3	38
tt0007983	6.1	277
tt0008044	6.6	16
tt0008123	5.5	16
tt0008133	7.5	9900
tt0008179	5.8	18
tt0008305	6.7	42
tt0008498	6.1	139
tt0008565	6.8	28
tt0008670	5.4	73
tt0008688	7.5	144
tt0008836	5.6	47
tt0008950	6.0	489
tt0008952	6.9	34
tt0009030	5.4	14
tt0009309	6.4	65
tt0009358	5.8	21
tt0009544	7.9	37
tt0009659	6.7	33
tt0009891	8.2	15
tt0010134	4.6	23
tt0010137	6.0	761
tt0010391	6.7	367
tt0010532	7.2	26
tt0010622	7.0	20
tt0010654	5.3	22
tt0010715	6.3	24
tt0011301	5.5	16
tt0011387	6.6	1568
tt0011413	4.1	37
tt0011506	5.2	15
tt0011508	7.6	5015
tt0011849	7.2	24
tt0011984	7.1	3901
tt0012181	6.8	101
tt0012189	4.0	28
tt0012328	4.9	54
tt0012329	6.3	22
tt0012349	8.2	144820
tt0012350	6.9	24
tt0012382	6.1	383
tt0012515	3.8	18
tt0012581	4.3	21
tt0012645	6.5	173
tt0012650	6.5	316
tt0012672	5.9	15
tt0012720	4.3	12
tt0012730	5.8	20
tt0012752	6.9	1261
tt0013014	5.5	549
tt0013071	2.7	27
tt0013201	7.0	2182
tt0013221	6.2	26
tt0013250	4.7	19
tt0013450	6.6	983
tt0013480	6.5	51
tt0013496	6.7	2086
tt0013520	5.4	404
tt0013556	7.0	2663
tt0013574	6.7	177
tt0013597	5.8	797
tt0013607	6.1	415
tt0013789	6.9	13
tt0013908	6.6	39
tt0013932	6.3	95
tt0014051	7.2	39
tt0014068	7.0	33
tt0014523	6.7	20
tt0014524	6.3	231
tt0014532	6.8	2936
tt0014560	6.1	102
tt0014608	6.2	55
tt0014651	6.7	46
tt0014720	5.6	41
tt0014968	6.9	39
tt0015051	6.1	99
tt0015168	6.9	61
tt0015224	7.1	1470
tt0015288	7.4	14
tt0015361	7.6	9398
tt0015389	3.5	36
tt0015452	7.3	81
tt0015684	6.4	755
tt0015688	6.8	26
tt0015772	6.6	2483
tt0015777	4.6	19
tt0015863	7.1	5533
tt0015881	8.0	11523
tt0016112	7.4	108
tt0016123	6.2	1552
tt0016220	7.5	22045
tt0016338	5.5	185
tt0016409	6.1	61
tt0016417	4.3	60
tt0016463	5.6	61
tt0016692	6.2	37
tt0016709	6.6	115
tt0016800	7.5	67
tt0016953	6.6	1093
tt0017162	6.8	843
tt0017269	6.3	40
tt0017307	7.0	21
tt0017354	6.3	232
tt0017385	6.3	48
tt0017593	7.3	91
tt0017736	7.1	287
tt0017750	7.3	641
tt0017765	6.9	5812
tt0017773	4.8	10
tt0017825	6.0	3456
tt0017961	7.3	1273
tt0018033	7.2	3951
tt0018049	7.1	18
tt0018107	6.8	1285
tt0018192	8.2	9710
tt0018233	7.2	37
tt0018318	5.0	25
tt0018328	6.1	4295
tt0018351	6.9	298
tt0018392	7.2	536
tt0018526	7.5	3839
tt0018646	7.3	53
tt0018662	5.1	17
tt0018709	4.5	18
tt0018727	5.3	21
tt0018753	6.5	20
tt0018770	7.2	5019
tt0018822	5.2	67
tt0018846	6.3	133
tt0018873	6.8	1534
tt0018908	6.9	384
tt0018927	6.7	546
tt0019019	5.6	10
tt0019043	7.1	504
tt0019273	7.8	13
tt0019288	6.3	54
tt0019307	5.5	29
tt0019398	5.6	179
tt0019434	6.3	403
tt0019486	6.1	118
tt0019585	8.0	7754
tt0019664	6.1	31
tt0019687	5.2	51
tt0019696	6.6	18
tt0019732	5.8	27
tt0019734	6.8	98
tt0019840	6.8	33
tt0019884	6.0	449
tt0019889	6.2	260
tt0020016	7.6	44
tt0020025	7.2	340
tt0020291	6.9	40
tt0020323	7.1	37
tt0020409	7.4	42
tt0020469	6.4	120
tt0020596	7.0	72
tt0020629	8.1	71601
tt0020678	7.1	2047
tt0020716	6.1	21
tt0020869	5.3	213
tt0020986	5.9	103
tt0021017	5.3	98
tt0021027	5.4	82
tt0021128	5.7	1122
tt0021149	5.7	683
tt0021153	6.6	1591
tt0021219	6.3	127
tt0021282	5.4	594
tt0021287	5.4	534
tt0021292	5.6	571
tt0021456	7.9	351
tt0021504	6.1	62
tt0021515	4.3	53
tt0021543	6.9	62
tt0021571	7.2	6908
tt0021599	4.3	233
tt0021602	6.6	40
tt0021611	6.8	87
tt0021634	6.2	161
tt0021693	6.3	89
tt0021798	6.2	311
tt0021853	6.4	52
tt0021914	6.8	45
tt0022002	5.8	372
tt0022190	5.5	32
tt0022211	5.6	164
tt0022215	6.9	277
tt0022216	6.4	22
tt0022231	5.7	392
tt0022273	6.3	315
tt0022276	6.9	2528
tt0022296	5.6	171
tt0022301	6.3	107
tt0022307	5.8	30
tt0022384	6.3	84
tt0022400	6.8	58
tt0022408	5.3	20
tt0022500	6.1	322
tt0022520	6.6	86
tt0022559	6.1	67
tt0022747	5.1	14
tt0022750	6.5	26
tt0022837	7.1	78
tt0022951	5.5	67
tt0023006	7.4	62
tt0023064	4.6	171
tt0023119	5.8	197
tt0023245	6.9	33051
tt0023343	6.3	49
tt0023359	7.0	110
tt0023381	5.0	91
tt0023404	6.1	58
