week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,imdb_tconst
2023-12-17,Films (English),1,Leave the World Behind,,106200000,2.3667,44900000.0,2,False,tt12747748
2023-12-17,Films (English),2,Chicken Run: Dawn of the Nugget,,20300000,1.7,11900000.0,1,False,tt8337264
2023-12-17,Films (English),3,Leo,,16800000,1.7833,9400000.0,4,False,tt2320142
2023-12-17,Films (English),4,Family Switch,,16600000,1.7667,9400000.0,3,False,tt14227048
2023-12-17,Films (English),5,The Super Mario Bros. Movie,,13700000,1.5333,8900000.0,3,False,tt6718170
2023-12-17,Films (English),6,Underwater,,9200000,1.5833,5800000.0,1,False,tt5774060
2023-12-17,Films (English),7,Old,,10000000,1.8,5600000.0,1,False,tt10954652
2023-12-17,Films (English),8,Christmas as Usual,,7100000,1.4833,4800000.0,2,False,tt23790418
2023-12-17,Films (English),10,Holiday in the Vineyards,,6900000,1.7833,3900000.0,1,False,tt27195023
2023-12-17,Films (Non-English),1,Blood Vessel,,8800000,1.9833,4400000.0,2,False,tt30096240
2023-12-17,Films (Non-English),2,Stolen Vacation,,3200000,1.5333,2100000.0,2,False,tt12303550
2023-12-17,Films (Non-English),3,Dhak Dhak,,3700000,2.2833,1600000.0,1,False,tt27330026
2023-12-17,Films (Non-English),4,The Archies,,3100000,2.4,1300000.0,2,False,tt15979666
2023-12-17,Films (Non-English),6,Familia,,1800000,1.7667,1000000.0,1,False,tt27828085
2023-12-17,Films (Non-English),7,NAGA,,1900000,1.8833,1000000.0,1,False,tt28554013
2023-12-17,Films (Non-English),8,Nowhere,,1800000,1.8167,1000000.0,9,False,tt15789472
2023-12-17,Films (Non-English),9,Women on the Edge,,1400000,1.5833,900000.0,3,False,tt2065946
2023-12-17,Films (Non-English),10,Japan,,2200000,2.5667,900000.0,1,False,tt23474462
2023-12-17,TV (English),1,My Life With the Walter Boys,My Life With the Walter Boys: Season 1,97500000,7.6167,12800000.0,2,False,tt8323628
2023-12-17,TV (English),2,The Crown,The Crown: Season 6,50900000,8.75,5800000.0,5,False,tt4786824
2023-12-17,TV (English),3,Obliterated,Obliterated: Season 1,35600000,6.8333,5200000.0,3,False,tt11097240
2023-12-17,TV (English),4,World War II: From the Frontlines,World War II: From the Frontlines: Season 1,21200000,4.85,4400000.0,2,False,tt28756878
2023-12-17,TV (English),5,Squid Game: The Challenge,Squid Game: The Challenge: Season 1,24900000,8.1667,3000000.0,4,False,tt28104766
2023-12-17,TV (English),6,Car Masters: Rust to Riches,Car Masters: Rust to Riches: Season 5,12900000,5.3,2400000.0,1,False,tt8893550
2023-12-17,TV (English),7,Bad Surgeon: Love Under the Knife,Bad Surgeon: Love Under the Knife: Season 1,6100000,2.6667,2300000.0,3,False,tt28197236
2023-12-17,TV (English),8,CoComelon Lane,CoComelon Lane: Season 1,7800000,3.9167,2000000.0,4,False,tt15040002
2023-12-17,TV (English),9,Young Sheldon,Young Sheldon: Season 1,11600000,7.2167,1600000.0,4,False,tt6226232
2023-12-17,TV (English),10,School Spirits,School Spirits: Season 1,8900000,6.2,1400000.0,1,False,tt1821156
2023-12-17,TV (Non-English),1,Yu Yu Hakusho,Yu Yu Hakusho: Season 1,32100000,4.1833,7700000.0,1,False,tt13664452
2023-12-17,TV (Non-English),2,My Demon,My Demon: Season 1,33600000,0.0,4200000.0,4,True,tt29569035
2023-12-17,TV (Non-English),3,Blood Coast,Blood Coast: Season 1,19900000,5.2833,3800000.0,2,False,tt28129282
2023-12-17,TV (Non-English),5,High Tides,High Tides: Season 1,19100000,5.7667,3300000.0,2,False,tt21093806
2023-12-17,TV (Non-English),6,True Beauty,,63500000,20.0167,3200000.0,3,False,tt13274038
2023-12-17,TV (Non-English),7,A Nearly Normal Family,A Nearly Normal Family: Limited Series,12200000,4.5333,2700000.0,4,False,tt22780536
2023-12-17,TV (Non-English),8,If I Were Luísa Sonza,If I Were Luísa Sonza: Season 1,4000000,1.85,2200000.0,1,False,tt28995977
2023-12-17,TV (Non-English),9,Dubai Bling,Dubai Bling: Season 2,12600000,6.4833,1900000.0,1,False,tt22071840
2023-12-10,Films (English),1,Leave the World Behind,,98700000,2.3667,41700000.0,1,False,tt12747748
2023-12-10,Films (English),2,Family Switch,,32900000,1.7667,18600000.0,2,False,tt14227048
2023-12-10,Films (English),3,Leo,,25400000,1.7833,14200000.0,3,False,tt2320142
2023-12-10,Films (English),4,The Super Mario Bros. Movie,,20300000,1.5333,13200000.0,2,False,tt6718170
2023-12-10,Films (English),6,Nobody,,10600000,1.5333,6900000.0,1,False,tt7888964
2023-12-10,Films (English),7,Christmas as Usual,,10000000,1.4833,6700000.0,1,False,tt23790418
2023-12-10,Films (English),8,The Fast and the Furious,,11200000,1.7667,6300000.0,1,False,tt0232500
2023-12-10,Films (English),9,The Fate of the Furious,,13700000,2.2667,6000000.0,1,False,tt4630562
2023-12-10,Films (Non-English),1,Mission Raniganj: The Great Bharat Rescue,,5700000,2.25,2500000.0,2,False,tt21262240
2023-12-10,Films (Non-English),2,Stolen Vacation,,3800000,1.5333,2500000.0,1,False,tt12303550
2023-12-10,Films (Non-English),3,The Archies,,5200000,2.4,2200000.0,1,False,tt15979666
2023-12-10,Films (Non-English),4,Women on the Edge,,3000000,1.5833,1900000.0,2,False,tt2065946
2023-12-10,Films (Non-English),6,Last Call for Istanbul,,2700000,1.5167,1800000.0,3,False,tt23334616
2023-12-10,Films (Non-English),7,Thank You for Coming,,2900000,1.9667,1500000.0,1,False,tt23036080
2023-12-10,Films (Non-English),8,Concrete Utopia,,3100000,2.1667,1400000.0,1,False,tt13086266
2023-12-10,Films (Non-English),9,Hard Days,,2500000,1.9667,1300000.0,1,False,tt26594589
2023-12-10,Films (Non-English),10,Blood Vessel,,2400000,1.9833,1200000.0,1,False,tt30096240
2023-12-10,TV (English),1,Obliterated,Obliterated: Season 1,61500000,6.8333,9000000.0,2,False,tt11097240
