week,at_rank1,views_at_rank1,at_rank2,views_at_rank2,at_rank3,views_at_rank3,at_rank4,views_at_rank4,at_rank5,views_at_rank5,at_rank6,views_at_rank6,at_rank7,views_at_rank7,at_rank8,views_at_rank8,at_rank9,views_at_rank9,at_rank10,views_at_rank10
2023-12-17,tt12747748,"[106200000.0, 44900000.0, 2.0]",tt8337264,"[20300000.0, 11900000.0, 1.0]",tt2320142,"[16800000.0, 9400000.0, 4.0]",tt14227048,"[16600000.0, 9400000.0, 3.0]",tt6718170,"[13700000.0, 8900000.0, 3.0]",tt5774060,"[9200000.0, 5800000.0, 1.0]",tt10954652,"[10000000.0, 5600000.0, 1.0]",tt23790418,"[7100000.0, 4800000.0, 2.0]",,,tt27195023,"[6900000.0, 3900000.0, 1.0]"
2023-12-17,tt30096240,"[8800000.0, 4400000.0, 2.0]",tt12303550,"[3200000.0, 2100000.0, 2.0]",tt27330026,"[3700000.0, 1600000.0, 1.0]",tt15979666,"[3100000.0, 1300000.0, 2.0]",,,tt27828085,"[1800000.0, 1000000.0, 1.0]",tt28554013,"[1900000.0, 1000000.0, 1.0]",tt15789472,"[1800000.0, 1000000.0, 9.0]",tt2065946,"[1400000.0, 900000.0, 3.0]",tt23474462,"[2200000.0, 900000.0, 1.0]"
2023-12-17,tt8323628,"[97500000.0, 12800000.0, 2.0]",tt4786824,"[50900000.0, 5800000.0, 5.0]",tt11097240,"[35600000.0, 5200000.0, 3.0]",tt28756878,"[21200000.0, 4400000.0, 2.0]",tt28104766,"[24900000.0, 3000000.0, 4.0]",tt8893550,"[12900000.0, 2400000.0, 1.0]",tt28197236,"[6100000.0, 2300000.0, 3.0]",tt15040002,"[7800000.0, 2000000.0, 4.0]",tt6226232,"[11600000.0, 1600000.0, 4.0]",tt1821156,"[8900000.0, 1400000.0, 1.0]"
2023-12-17,tt13664452,"[32100000.0, 7700000.0, 1.0]",tt29569035,"[33600000.0, 4200000.0, 4.0]",tt28129282,"[19900000.0, 3800000.0, 2.0]",,,tt21093806,"[19100000.0, 3300000.0, 2.0]",tt13274038,"[63500000.0, 3200000.0, 3.0]",tt22780536,"[12200000.0, 2700000.0, 4.0]",tt28995977,"[4000000.0, 2200000.0, 1.0]",tt22071840,"[12600000.0, 1900000.0, 1.0]",,
2023-12-10,tt12747748,"[98700000.0, 41700000.0, 1.0]",tt14227048,"[32900000.0, 18600000.0, 2.0]",tt2320142,"[25400000.0, 14200000.0, 3.0]",tt6718170,"[20300000.0, 13200000.0, 2.0]",,,tt7888964,"[10600000.0, 6900000.0, 1.0]",tt23790418,"[10000000.0, 6700000.0, 1.0]",tt0232500,"[11200000.0, 6300000.0, 1.0]",tt4630562,"[13700000.0, 6000000.0, 1.0]",,
2023-12-10,tt21262240,"[5700000.0, 2500000.0, 2.0]",tt12303550,"[3800000.0, 2500000.0, 1.0]",tt15979666,"[5200000.0, 2200000.0, 1.0]",tt2065946,"[3000000.0, 1900000.0, 2.0]",,,tt23334616,"[2700000.0, 1800000.0, 3.0]",tt23036080,"[2900000.0, 1500000.0, 1.0]",tt13086266,"[3100000.0, 1400000.0, 1.0]",tt26594589,"[2500000.0, 1300000.0, 1.0]",tt30096240,"[2400000.0, 1200000.0, 1.0]"
2023-12-10,tt11097240,"[61500000.0, 9000000.0, 2.0]",tt8323628,"[57400000.0, 7500000.0, 1.0]",tt28104766,"[54100000.0, 6600000.0, 3.0]",tt28197236,"[13300000.0, 5000000.0, 2.0]",tt28756878,"[20300000.0, 4200000.0, 1.0]",tt4786824,"[8200000.0, 2500000.0, 4.0]",tt15040002,"[9500000.0, 2400000.0, 3.0]",tt9077530,"[20300000.0, 2200000.0, 8.0]",tt6226232,"[13900000.0, 1900000.0, 3.0]",tt6226232,"[10300000.0, 1400000.0, 2.0]"
2023-12-10,tt28129282,"[29400000.0, 5600000.0, 1.0]",tt22780536,"[24500000.0, 5400000.0, 3.0]",tt29569035,"[28000000.0, 4900000.0, 3.0]",tt11612120,"[37100000.0, 3900000.0, 2.0]",,,tt22459586,"[15300000.0, 2000000.0, 4.0]",tt11612120,"[16600000.0, 1900000.0, 1.0]",tt28348835,"[16600000.0, 1200000.0, 6.0]",tt23556972,"[3700000.0, 1100000.0, 1.0]",tt21093806,"[6400000.0, 1100000.0, 1.0]"
2023-12-03,tt2320142,"[42100000.0, 23600000.0, 2.0]",tt14227048,"[39200000.0, 22200000.0, 1.0]",tt7038762,"[9600000.0, 7000000.0, 3.0]",,,tt12412888,"[8200000.0, 4000000.0, 1.0]",tt7149730,"[5800000.0, 3700000.0, 1.0]",tt1136617,"[7100000.0, 3600000.0, 4.0]",,,tt6718170,"[4800000.0, 3100000.0, 1.0]",tt2990140,"[5300000.0, 3000000.0, 7.0]"
2023-12-03,tt23334616,"[13300000.0, 8800000.0, 2.0]",tt29692772,"[4100000.0, 3500000.0, 2.0]",,,,,tt21262240,"[5500000.0, 2400000.0, 1.0]",tt28081899,"[4000000.0, 2400000.0, 2.0]",tt27921620,"[3400000.0, 2000000.0, 3.0]",tt26258204,"[3400000.0, 1800000.0, 3.0]",tt2065946,"[2700000.0, 1700000.0, 1.0]",,
2023-12-03,tt28104766,"[85000000.0, 11400000.0, 2.0]",tt28197236,"[19800000.0, 7400000.0, 1.0]",tt11097240,"[47600000.0, 7000000.0, 1.0]",tt4786824,"[13100000.0, 3900000.0, 3.0]",tt15040002,"[11000000.0, 2800000.0, 2.0]",tt9077530,"[25300000.0, 2700000.0, 7.0]",tt6226232,"[19300000.0, 2700000.0, 2.0]",tt15320362,"[7600000.0, 2000000.0, 5.0]",tt6226232,"[12100000.0, 1700000.0, 1.0]",tt7546362,"[5800000.0, 1500000.0, 2.0]"
2023-12-03,tt22780536,"[47700000.0, 10500000.0, 2.0]",tt29569035,"[19700000.0, 5400000.0, 2.0]",tt22459586,"[27100000.0, 3500000.0, 3.0]",tt11612120,"[23700000.0, 2500000.0, 1.0]",,,tt27787856,"[6500000.0, 1900000.0, 2.0]",tt10919420,"[12700000.0, 1500000.0, 22.0]",tt28348835,"[18500000.0, 1400000.0, 5.0]",tt27055592,"[6100000.0, 1300000.0, 1.0]",tt29225198,"[19600000.0, 1200000.0, 9.0]"
2023-11-26,tt2320142,"[61700000.0, 34600000.0, 1.0]",tt7038762,"[18200000.0, 13300000.0, 2.0]",tt1136617,"[17500000.0, 8800000.0, 3.0]",tt14960612,"[11300000.0, 7100000.0, 2.0]",tt15428940,"[6700000.0, 4600000.0, 1.0]",tt1488606,"[7500000.0, 3600000.0, 1.0]",tt2990140,"[5900000.0, 3400000.0, 6.0]",,,tt1091191,"[5500000.0, 2700000.0, 2.0]",tt14715170,"[4300000.0, 2700000.0, 7.0]"
